cell_id,shard_id,image,seed,nu,b,status,dual_gap_upper_per_r,primal_gap_lower_per_r,solver_status_primary,solver_status_retry,wall_seconds,coefficient_dynamic_range,n_dictionary_scans,n_arisk_cuts,n_spectral_cuts,full_dictionary_scan_residual,min_generalized_eigenvalue,arisk_ratio,MU_CAP_ACTIVE,dep_feasible,dep_dose_dev,d_cert_sha,stage
M1_CERT_36_c0001,M1_CERT_36,m1_contour_3,1,200.0,0.05,COUNTEREXAMPLE,nan,1.4050343903218596,SKIPPED_COUNTEREXAMPLE,,65.3,,,,,,,,False,True,0.0399907794199027,908cfccbd249de22,M1_CERT
M1_CERT_36_c0002,M1_CERT_36,m1_contour_3,1,200.0,0.6,COUNTEREXAMPLE,nan,1.6557203366159092,SKIPPED_COUNTEREXAMPLE,,64.5,,,,,,,,False,True,0.03999077941990248,908cfccbd249de22,M1_CERT
M1_CERT_36_c0003,M1_CERT_36,m1_contour_3,1,2000.0,0.05,COUNTEREXAMPLE,nan,1.5396557209300932,SKIPPED_COUNTEREXAMPLE,,66.2,,,,,,,,False,True,0.0399907794199027,908cfccbd249de22,M1_CERT
M1_CERT_36_c0004,M1_CERT_36,m1_contour_3,1,2000.0,0.6,COUNTEREXAMPLE,nan,1.713466847509353,SKIPPED_COUNTEREXAMPLE,,66.0,,,,,,,,False,True,0.03999077941990259,908cfccbd249de22,M1_CERT
M1_CERT_36_c0005,M1_CERT_36,m1_maze_2,4,200.0,0.05,NUMERICAL_UNRESOLVED,inf,-inf,LP_FAIL:The problem is infeasible. (HiGHS Status 8: model_status is ,LP_FAIL:The problem is infeasible. (HiGHS Status 8: model_status is ,64.6,4000.0,0,0,0,inf,nan,1.0,False,True,0.03999077941990259,908cfccbd249de22,M1_CERT
M1_CERT_36_c0006,M1_CERT_36,m1_maze_2,4,200.0,0.6,NUMERICAL_UNRESOLVED,inf,-inf,LP_FAIL:The problem is infeasible. (HiGHS Status 8: model_status is ,LP_FAIL:The problem is infeasible. (HiGHS Status 8: model_status is ,66.0,2139.430989583333,0,0,0,inf,nan,1.0,False,True,0.03999077941990281,908cfccbd249de22,M1_CERT
M1_CERT_36_c0007,M1_CERT_36,m1_maze_2,4,2000.0,0.05,NUMERICAL_UNRESOLVED,inf,-inf,LP_FAIL:The problem is infeasible. (HiGHS Status 8: model_status is ,LP_FAIL:The problem is infeasible. (HiGHS Status 8: model_status is ,64.6,4000.0,0,0,0,inf,nan,1.0,False,True,0.0399907794199027,908cfccbd249de22,M1_CERT
M1_CERT_36_c0008,M1_CERT_36,m1_maze_2,4,2000.0,0.6,NUMERICAL_UNRESOLVED,inf,-inf,LP_FAIL:The problem is infeasible. (HiGHS Status 8: model_status is ,LP_FAIL:The problem is infeasible. (HiGHS Status 8: model_status is ,64.2,2139.261878067998,0,0,0,inf,nan,1.0,False,True,0.03999077941990281,908cfccbd249de22,M1_CERT
M1_CERT_36_c0009,M1_CERT_36,m1_spokes_2,2,200.0,0.05,COUNTEREXAMPLE,nan,1.4161619658397218,SKIPPED_COUNTEREXAMPLE,,64.0,,,,,,,,False,True,0.0399907794199027,908cfccbd249de22,M1_CERT
M1_CERT_36_c0010,M1_CERT_36,m1_spokes_2,2,200.0,0.6,COUNTEREXAMPLE,nan,1.4814240609667173,SKIPPED_COUNTEREXAMPLE,,65.7,,,,,,,,False,True,0.03999077941990292,908cfccbd249de22,M1_CERT
M1_CERT_36_c0011,M1_CERT_36,m1_spokes_2,2,2000.0,0.05,COUNTEREXAMPLE,nan,1.398022453169865,SKIPPED_COUNTEREXAMPLE,,66.0,,,,,,,,False,True,0.03999077941990292,908cfccbd249de22,M1_CERT
M1_CERT_36_c0012,M1_CERT_36,m1_spokes_2,2,2000.0,0.6,COUNTEREXAMPLE,nan,1.5007947328236242,SKIPPED_COUNTEREXAMPLE,,63.0,,,,,,,,False,True,0.03999077941990303,908cfccbd249de22,M1_CERT
