cell_id,shard_id,image,seed,nu,b,status,dual_gap_upper_per_r,primal_gap_lower_per_r,solver_status_primary,solver_status_retry,wall_seconds,coefficient_dynamic_range,n_dictionary_scans,n_arisk_cuts,n_spectral_cuts,full_dictionary_scan_residual,min_generalized_eigenvalue,arisk_ratio,MU_CAP_ACTIVE,dep_feasible,dep_dose_dev,d_cert_sha,stage
M1_CERT_33_c0001,M1_CERT_33,m1_contour_2,3,200.0,0.05,COUNTEREXAMPLE,nan,1.568051273749179,SKIPPED_COUNTEREXAMPLE,,65.3,,,,,,,,False,True,0.03999077941990259,908cfccbd249de22,M1_CERT
M1_CERT_33_c0002,M1_CERT_33,m1_contour_2,3,200.0,0.6,COUNTEREXAMPLE,nan,1.6499895185463378,SKIPPED_COUNTEREXAMPLE,,63.0,,,,,,,,False,True,0.0399907794199027,908cfccbd249de22,M1_CERT
M1_CERT_33_c0003,M1_CERT_33,m1_contour_2,3,2000.0,0.05,COUNTEREXAMPLE,nan,1.6760051578814614,SKIPPED_COUNTEREXAMPLE,,63.9,,,,,,,,False,True,0.03999077941990281,908cfccbd249de22,M1_CERT
M1_CERT_33_c0004,M1_CERT_33,m1_contour_2,3,2000.0,0.6,COUNTEREXAMPLE,nan,1.8213938767518676,SKIPPED_COUNTEREXAMPLE,,63.7,,,,,,,,False,True,0.039990779419903366,908cfccbd249de22,M1_CERT
M1_CERT_33_c0005,M1_CERT_33,m1_maze_2,1,200.0,0.05,NUMERICAL_UNRESOLVED,inf,-inf,LP_FAIL:The problem is infeasible. (HiGHS Status 8: model_status is ,LP_FAIL:The problem is infeasible. (HiGHS Status 8: model_status is ,64.3,4000.0,0,0,0,inf,nan,1.0,False,True,0.0399907794199027,908cfccbd249de22,M1_CERT
M1_CERT_33_c0006,M1_CERT_33,m1_maze_2,1,200.0,0.6,NUMERICAL_UNRESOLVED,inf,-inf,LP_FAIL:The problem is infeasible. (HiGHS Status 8: model_status is ,LP_FAIL:The problem is infeasible. (HiGHS Status 8: model_status is ,64.3,2134.5052083333335,0,0,0,inf,nan,1.0,False,True,0.03999077941990259,908cfccbd249de22,M1_CERT
M1_CERT_33_c0007,M1_CERT_33,m1_maze_2,1,2000.0,0.05,NUMERICAL_UNRESOLVED,inf,-inf,LP_FAIL:The problem is infeasible. (HiGHS Status 8: model_status is ,LP_FAIL:The problem is infeasible. (HiGHS Status 8: model_status is ,65.8,4000.0,0,0,0,inf,nan,1.0,False,True,0.03999077941990303,908cfccbd249de22,M1_CERT
M1_CERT_33_c0008,M1_CERT_33,m1_maze_2,1,2000.0,0.6,NUMERICAL_UNRESOLVED,inf,-inf,LP_FAIL:The problem is infeasible. (HiGHS Status 8: model_status is ,LP_FAIL:The problem is infeasible. (HiGHS Status 8: model_status is ,63.7,2139.4309895833335,0,0,0,inf,nan,1.0,False,True,0.03999077941990292,908cfccbd249de22,M1_CERT
M1_CERT_33_c0009,M1_CERT_33,m1_spokes_1,4,200.0,0.05,COUNTEREXAMPLE,nan,1.3878268306645942,SKIPPED_COUNTEREXAMPLE,,64.6,,,,,,,,False,True,0.03999077941990259,908cfccbd249de22,M1_CERT
M1_CERT_33_c0010,M1_CERT_33,m1_spokes_1,4,200.0,0.6,COUNTEREXAMPLE,nan,1.35515282751501,SKIPPED_COUNTEREXAMPLE,,64.9,,,,,,,,False,True,0.03999077941990281,908cfccbd249de22,M1_CERT
M1_CERT_33_c0011,M1_CERT_33,m1_spokes_1,4,2000.0,0.05,COUNTEREXAMPLE,nan,1.2194563433035228,SKIPPED_COUNTEREXAMPLE,,64.9,,,,,,,,False,True,0.0399907794199027,908cfccbd249de22,M1_CERT
M1_CERT_33_c0012,M1_CERT_33,m1_spokes_1,4,2000.0,0.6,COUNTEREXAMPLE,nan,1.3637059848592663,SKIPPED_COUNTEREXAMPLE,,63.3,,,,,,,,False,True,0.03999077941990259,908cfccbd249de22,M1_CERT
