cell_id,shard_id,image,seed,nu,b,status,dual_gap_upper_per_r,primal_gap_lower_per_r,solver_status_primary,solver_status_retry,wall_seconds,coefficient_dynamic_range,n_dictionary_scans,n_arisk_cuts,n_spectral_cuts,full_dictionary_scan_residual,min_generalized_eigenvalue,arisk_ratio,MU_CAP_ACTIVE,dep_feasible,dep_dose_dev,d_cert_sha,stage
M1_CERT_02_c0001,M1_CERT_02,m1_chirp_0,2,200.0,0.05,COUNTEREXAMPLE,nan,1.4958777595963306,SKIPPED_COUNTEREXAMPLE,,66.3,,,,,,,,False,True,0.03999077941990281,908cfccbd249de22,M1_CERT
M1_CERT_02_c0002,M1_CERT_02,m1_chirp_0,2,200.0,0.6,COUNTEREXAMPLE,nan,1.6274892755609038,SKIPPED_COUNTEREXAMPLE,,65.3,,,,,,,,False,True,0.03999077941990248,908cfccbd249de22,M1_CERT
M1_CERT_02_c0003,M1_CERT_02,m1_chirp_0,2,2000.0,0.05,COUNTEREXAMPLE,nan,1.5586661021345003,SKIPPED_COUNTEREXAMPLE,,64.5,,,,,,,,False,True,0.03999077941990281,908cfccbd249de22,M1_CERT
M1_CERT_02_c0004,M1_CERT_02,m1_chirp_0,2,2000.0,0.6,COUNTEREXAMPLE,nan,1.8645356463192888,SKIPPED_COUNTEREXAMPLE,,65.4,,,,,,,,False,True,0.0399907794199027,908cfccbd249de22,M1_CERT
M1_CERT_02_c0005,M1_CERT_02,m1_glyph_0,0,200.0,0.05,COUNTEREXAMPLE,nan,1.4893944923646132,SKIPPED_COUNTEREXAMPLE,,64.2,,,,,,,,False,True,0.03999077941990259,908cfccbd249de22,M1_CERT
M1_CERT_02_c0006,M1_CERT_02,m1_glyph_0,0,200.0,0.6,NUMERICAL_UNRESOLVED,inf,-inf,LP_FAIL:The problem is infeasible. (HiGHS Status 8: model_status is ,LP_FAIL:The problem is infeasible. (HiGHS Status 8: model_status is ,64.2,4305.132812500001,0,0,0,inf,nan,1.0,False,True,0.03999077941990303,908cfccbd249de22,M1_CERT
M1_CERT_02_c0007,M1_CERT_02,m1_glyph_0,0,2000.0,0.05,COUNTEREXAMPLE,nan,1.3440207827977588,SKIPPED_COUNTEREXAMPLE,,65.7,,,,,,,,False,True,0.039990779419903144,908cfccbd249de22,M1_CERT
M1_CERT_02_c0008,M1_CERT_02,m1_glyph_0,0,2000.0,0.6,NUMERICAL_UNRESOLVED,inf,-inf,LP_FAIL:The problem is infeasible. (HiGHS Status 8: model_status is ,LP_FAIL:The problem is infeasible. (HiGHS Status 8: model_status is ,65.5,4305.132812500001,0,0,0,inf,nan,1.0,False,True,0.0399907794199027,908cfccbd249de22,M1_CERT
M1_CERT_02_c0009,M1_CERT_02,m1_maze_3,3,200.0,0.05,NUMERICAL_UNRESOLVED,inf,-inf,LP_FAIL:The problem is infeasible. (HiGHS Status 8: model_status is ,LP_FAIL:The problem is infeasible. (HiGHS Status 8: model_status is ,64.9,4000.0,0,0,0,inf,nan,1.0,False,True,0.0399907794199027,908cfccbd249de22,M1_CERT
M1_CERT_02_c0010,M1_CERT_02,m1_maze_3,3,200.0,0.6,NUMERICAL_UNRESOLVED,inf,-inf,LP_FAIL:The problem is infeasible. (HiGHS Status 8: model_status is ,LP_FAIL:The problem is infeasible. (HiGHS Status 8: model_status is ,65.5,2433.2910409767333,0,0,0,inf,nan,1.0,False,True,0.0399907794199027,908cfccbd249de22,M1_CERT
M1_CERT_02_c0011,M1_CERT_02,m1_maze_3,3,2000.0,0.05,NUMERICAL_UNRESOLVED,inf,-inf,LP_FAIL:The problem is infeasible. (HiGHS Status 8: model_status is ,LP_FAIL:The problem is infeasible. (HiGHS Status 8: model_status is ,64.9,4000.0,0,0,0,inf,nan,1.0,False,True,0.03999077941990248,908cfccbd249de22,M1_CERT
M1_CERT_02_c0012,M1_CERT_02,m1_maze_3,3,2000.0,0.6,NUMERICAL_UNRESOLVED,inf,-inf,LP_FAIL:The problem is infeasible. (HiGHS Status 8: model_status is ,LP_FAIL:The problem is infeasible. (HiGHS Status 8: model_status is ,65.6,2139.0458514046118,0,0,0,inf,nan,1.0,False,True,0.03999077941990281,908cfccbd249de22,M1_CERT
M1_CERT_02_c0013,M1_CERT_02,m1_spokes_3,1,200.0,0.05,COUNTEREXAMPLE,nan,1.385080288331551,SKIPPED_COUNTEREXAMPLE,,63.5,,,,,,,,False,True,0.0399907794199027,908cfccbd249de22,M1_CERT
M1_CERT_02_c0014,M1_CERT_02,m1_spokes_3,1,200.0,0.6,COUNTEREXAMPLE,nan,1.4617518086845736,SKIPPED_COUNTEREXAMPLE,,65.2,,,,,,,,False,True,0.03999077941990281,908cfccbd249de22,M1_CERT
M1_CERT_02_c0015,M1_CERT_02,m1_spokes_3,1,2000.0,0.05,COUNTEREXAMPLE,nan,1.418582611558097,SKIPPED_COUNTEREXAMPLE,,65.0,,,,,,,,False,True,0.0399907794199027,908cfccbd249de22,M1_CERT
M1_CERT_02_c0016,M1_CERT_02,m1_spokes_3,1,2000.0,0.6,COUNTEREXAMPLE,nan,1.502364668250807,SKIPPED_COUNTEREXAMPLE,,65.7,,,,,,,,False,True,0.03999077941990281,908cfccbd249de22,M1_CERT
