cell_id,shard_id,image,seed,nu,b,status,dual_gap_upper_per_r,primal_gap_lower_per_r,solver_status_primary,solver_status_retry,wall_seconds,coefficient_dynamic_range,n_dictionary_scans,n_arisk_cuts,n_spectral_cuts,full_dictionary_scan_residual,min_generalized_eigenvalue,arisk_ratio,MU_CAP_ACTIVE,dep_feasible,dep_dose_dev,d_cert_sha,stage
M1_CERT_25_c0001,M1_CERT_25,m1_contour_1,0,200.0,0.05,COUNTEREXAMPLE,nan,1.3842418559942233,SKIPPED_COUNTEREXAMPLE,,63.3,,,,,,,,False,True,0.0399907794199027,908cfccbd249de22,M1_CERT
M1_CERT_25_c0002,M1_CERT_25,m1_contour_1,0,200.0,0.6,COUNTEREXAMPLE,nan,1.4516987090354814,SKIPPED_COUNTEREXAMPLE,,66.1,,,,,,,,False,True,0.03999077941990237,908cfccbd249de22,M1_CERT
M1_CERT_25_c0003,M1_CERT_25,m1_contour_1,0,2000.0,0.05,COUNTEREXAMPLE,nan,1.2937150277119054,SKIPPED_COUNTEREXAMPLE,,63.4,,,,,,,,False,True,0.0399907794199027,908cfccbd249de22,M1_CERT
M1_CERT_25_c0004,M1_CERT_25,m1_contour_1,0,2000.0,0.6,NUMERICAL_UNRESOLVED,inf,-inf,LP_FAIL:The problem is infeasible. (HiGHS Status 8: model_status is ,LP_FAIL:The problem is infeasible. (HiGHS Status 8: model_status is ,65.8,2149.2825520833335,0,0,0,inf,nan,1.0,False,True,0.03999077941990292,908cfccbd249de22,M1_CERT
M1_CERT_25_c0005,M1_CERT_25,m1_maze_0,3,200.0,0.05,NUMERICAL_UNRESOLVED,inf,-inf,LP_FAIL:The problem is infeasible. (HiGHS Status 8: model_status is ,LP_FAIL:The problem is infeasible. (HiGHS Status 8: model_status is ,65.8,4000.0,0,0,0,inf,nan,1.0,False,True,0.03999077941990248,908cfccbd249de22,M1_CERT
M1_CERT_25_c0006,M1_CERT_25,m1_maze_0,3,200.0,0.6,NUMERICAL_UNRESOLVED,inf,-inf,LP_FAIL:The problem is infeasible. (HiGHS Status 8: model_status is ,LP_FAIL:The problem is infeasible. (HiGHS Status 8: model_status is ,64.4,2147.640625,0,0,0,inf,nan,1.0,False,True,0.03999077941990237,908cfccbd249de22,M1_CERT
M1_CERT_25_c0007,M1_CERT_25,m1_maze_0,3,2000.0,0.05,COUNTEREXAMPLE,nan,1.272542309497278,SKIPPED_COUNTEREXAMPLE,,65.4,,,,,,,,False,True,0.03999077941990259,908cfccbd249de22,M1_CERT
M1_CERT_25_c0008,M1_CERT_25,m1_maze_0,3,2000.0,0.6,NUMERICAL_UNRESOLVED,inf,-inf,LP_FAIL:The problem is infeasible. (HiGHS Status 8: model_status is ,LP_FAIL:The problem is infeasible. (HiGHS Status 8: model_status is ,65.7,2137.789062500001,0,0,0,inf,nan,1.0,False,True,0.03999077941990292,908cfccbd249de22,M1_CERT
M1_CERT_25_c0009,M1_CERT_25,m1_spokes_0,1,200.0,0.05,COUNTEREXAMPLE,nan,1.477916086460848,SKIPPED_COUNTEREXAMPLE,,65.4,,,,,,,,False,True,0.0399907794199027,908cfccbd249de22,M1_CERT
M1_CERT_25_c0010,M1_CERT_25,m1_spokes_0,1,200.0,0.6,COUNTEREXAMPLE,nan,1.4072731170975135,SKIPPED_COUNTEREXAMPLE,,64.7,,,,,,,,False,True,0.0399907794199027,908cfccbd249de22,M1_CERT
M1_CERT_25_c0011,M1_CERT_25,m1_spokes_0,1,2000.0,0.05,COUNTEREXAMPLE,nan,1.4651937395872028,SKIPPED_COUNTEREXAMPLE,,64.8,,,,,,,,False,True,0.03999077941990259,908cfccbd249de22,M1_CERT
M1_CERT_25_c0012,M1_CERT_25,m1_spokes_0,1,2000.0,0.6,COUNTEREXAMPLE,nan,1.391852832066986,SKIPPED_COUNTEREXAMPLE,,63.4,,,,,,,,False,True,0.0399907794199027,908cfccbd249de22,M1_CERT
