cell_id,shard_id,image,seed,nu,b,status,dual_gap_upper_per_r,primal_gap_lower_per_r,solver_status_primary,solver_status_retry,wall_seconds,coefficient_dynamic_range,n_dictionary_scans,n_arisk_cuts,n_spectral_cuts,full_dictionary_scan_residual,min_generalized_eigenvalue,arisk_ratio,MU_CAP_ACTIVE,dep_feasible,dep_dose_dev,d_cert_sha,stage
M1_CERT_10_c0001,M1_CERT_10,m1_chirp_2,0,200.0,0.05,NUMERICAL_UNRESOLVED,inf,-inf,LP_FAIL:The problem is infeasible. (HiGHS Status 8: model_status is ,LP_FAIL:The problem is infeasible. (HiGHS Status 8: model_status is ,64.6,4000.0,0,0,0,inf,nan,1.0,False,True,0.03999077941990281,908cfccbd249de22,M1_CERT
M1_CERT_10_c0002,M1_CERT_10,m1_chirp_2,0,200.0,0.6,COUNTEREXAMPLE,nan,1.4300954822246195,SKIPPED_COUNTEREXAMPLE,,66.3,,,,,,,,False,True,0.03999077941990292,908cfccbd249de22,M1_CERT
M1_CERT_10_c0003,M1_CERT_10,m1_chirp_2,0,2000.0,0.05,COUNTEREXAMPLE,nan,1.362216763597296,SKIPPED_COUNTEREXAMPLE,,64.4,,,,,,,,False,True,0.03999077941990303,908cfccbd249de22,M1_CERT
M1_CERT_10_c0004,M1_CERT_10,m1_chirp_2,0,2000.0,0.6,NUMERICAL_UNRESOLVED,inf,-inf,LP_FAIL:The problem is infeasible. (HiGHS Status 8: model_status is ,LP_FAIL:The problem is infeasible. (HiGHS Status 8: model_status is ,66.9,2148.2704323305443,0,0,0,inf,nan,1.0,False,True,0.03999077941990259,908cfccbd249de22,M1_CERT
M1_CERT_10_c0005,M1_CERT_10,m1_glyph_1,3,200.0,0.05,COUNTEREXAMPLE,nan,1.3478446458726876,SKIPPED_COUNTEREXAMPLE,,65.3,,,,,,,,False,True,0.0399907794199027,908cfccbd249de22,M1_CERT
M1_CERT_10_c0006,M1_CERT_10,m1_glyph_1,3,200.0,0.6,COUNTEREXAMPLE,nan,1.4487504212640214,SKIPPED_COUNTEREXAMPLE,,64.0,,,,,,,,False,True,0.03999077941990303,908cfccbd249de22,M1_CERT
M1_CERT_10_c0007,M1_CERT_10,m1_glyph_1,3,2000.0,0.05,COUNTEREXAMPLE,nan,1.3872112053324235,SKIPPED_COUNTEREXAMPLE,,66.3,,,,,,,,False,True,0.03999077941990292,908cfccbd249de22,M1_CERT
M1_CERT_10_c0008,M1_CERT_10,m1_glyph_1,3,2000.0,0.6,COUNTEREXAMPLE,nan,1.4594331738456185,SKIPPED_COUNTEREXAMPLE,,64.7,,,,,,,,False,True,0.03999077941990292,908cfccbd249de22,M1_CERT
M1_CERT_10_c0009,M1_CERT_10,m1_microtexture_1,1,200.0,0.05,NUMERICAL_UNRESOLVED,inf,-inf,LP_FAIL:The problem is infeasible. (HiGHS Status 8: model_status is ,LP_FAIL:The problem is infeasible. (HiGHS Status 8: model_status is ,65.5,4000.0,0,0,0,inf,nan,1.0,False,True,0.03999077941990259,908cfccbd249de22,M1_CERT
M1_CERT_10_c0010,M1_CERT_10,m1_microtexture_1,1,200.0,0.6,NUMERICAL_UNRESOLVED,inf,-inf,LP_FAIL:The problem is infeasible. (HiGHS Status 8: model_status is ,LP_FAIL:The problem is infeasible. (HiGHS Status 8: model_status is ,66.4,2159.6593218650373,0,0,0,inf,nan,1.0,False,True,0.03999077941990281,908cfccbd249de22,M1_CERT
M1_CERT_10_c0011,M1_CERT_10,m1_microtexture_1,1,2000.0,0.05,NUMERICAL_UNRESOLVED,inf,-inf,LP_FAIL:The problem is infeasible. (HiGHS Status 8: model_status is ,LP_FAIL:The problem is infeasible. (HiGHS Status 8: model_status is ,64.3,4000.0,0,0,0,inf,nan,1.0,False,True,0.03999077941990281,908cfccbd249de22,M1_CERT
M1_CERT_10_c0012,M1_CERT_10,m1_microtexture_1,1,2000.0,0.6,NUMERICAL_UNRESOLVED,inf,-inf,LP_FAIL:The problem is infeasible. (HiGHS Status 8: model_status is ,LP_FAIL:The problem is infeasible. (HiGHS Status 8: model_status is ,63.7,2152.5664062500005,0,0,0,inf,nan,1.0,False,True,0.03999077941990281,908cfccbd249de22,M1_CERT
